uid,country,gender,device,group,spent,converted
1011869,USA,M,A,B,0,No
1011870,MEX,F,A,A,0,No
1011871,FRA,M,A,A,0,No
1011872,GBR,F,I,B,0,No
1011873,FRA,,A,A,0,No
1011874,FRA,F,A,B,0,No
1011875,GBR,F,A,B,0,No
1011876,TUR,,A,A,0,No
1011877,BRA,F,A,A,0,No
1011878,BRA,F,A,A,0,No
1011879,USA,M,A,A,0,No
1011880,DEU,M,I,A,0,No
1011881,ESP,F,A,B,0,No
1011882,USA,O,I,A,0,No
1011883,ESP,M,I,B,0,No
1011884,BRA,M,I,B,0,No
1011885,MEX,,I,B,0,No
1011886,USA,M,A,A,0,No
1011887,GBR,F,I,A,0,No
1011888,USA,M,A,A,0,No
1011889,FRA,M,I,A,0,No
1011890,MEX,,I,B,0,No
1011891,FRA,M,I,B,0,No
1011892,USA,M,I,B,0,No
1011893,MEX,M,I,B,0,No
1011895,DEU,M,A,B,0,No
1011896,DEU,M,A,A,0,No
1011897,FRA,F,I,A,0,No
1011898,BRA,F,A,B,0,No
1011899,MEX,M,A,B,0,No
1011900,GBR,F,I,A,0,No
1011901,USA,F,I,A,0,No
1011902,USA,F,A,A,0,No
1011903,FRA,F,I,B,0,No
1011904,ESP,M,A,A,0,No
1011905,USA,F,A,A,0,No
1011906,USA,F,I,A,0,No
1011907,GBR,M,I,A,0,No
1011908,MEX,F,A,B,0,No
1011909,BRA,,I,A,0,No
1011910,USA,F,A,B,0,No
1011911,ESP,,I,B,0,No
1011912,DEU,M,I,B,0,No
1011913,GBR,F,A,B,0,No
1011914,BRA,F,A,B,0,No
1011915,MEX,F,I,B,0,No
1011916,BRA,M,I,A,0,No
1011917,USA,O,A,B,0,No
1011918,CAN,F,A,A,0,No
1011919,USA,M,I,A,0,No
1011920,MEX,,I,A,0,No
1011922,ESP,O,A,B,0,No
1011923,USA,,A,A,0,No
1011924,TUR,M,A,B,0,No
1011925,BRA,,I,A,0,No
1011926,USA,,A,A,0,No
1011927,BRA,M,A,B,0,No
1011928,BRA,M,A,A,0,No
1011929,USA,M,A,A,0,No
1011930,MEX,,A,A,0,No
1011931,FRA,F,A,A,0,No
1011932,GBR,M,I,A,0,No
1011933,CAN,M,A,A,0,No
1011934,TUR,M,A,B,0,No
1011935,TUR,F,I,A,0,No
1011936,BRA,M,A,A,0,No
1011937,USA,F,A,A,0,No
1011938,USA,O,A,B,0,No
1011939,BRA,M,A,A,0,No
1011940,USA,M,A,B,0,No
1011941,BRA,F,A,B,0,No
1011942,DEU,M,A,A,0,No
1011943,USA,O,I,B,0,No
1011944,GBR,M,A,A,0,No
1011945,FRA,F,A,A,0,No
1011946,BRA,M,A,B,0,No
1011947,USA,F,A,B,0,No
1011948,MEX,M,I,A,0,No
1011949,ESP,,I,B,0,No
1011950,USA,M,A,A,144.11,Yes
1011951,USA,F,I,A,0,No
1011952,DEU,F,A,A,0,No
1011953,BRA,M,A,A,0,No
1011954,MEX,F,I,B,0,No
1011955,BRA,,A,B,0,No
1011956,GBR,F,A,A,0,No
1011957,USA,F,A,A,0,No
1011958,USA,,A,A,0,No
1011959,GBR,F,I,A,0,No
1011960,GBR,,A,B,0,No
1011961,DEU,M,A,B,0,No
1011962,DEU,,A,A,0,No
1011963,TUR,M,A,B,0,No
1011964,BRA,M,A,B,0,No
1011965,,F,A,A,0,No
1011966,DEU,M,A,B,0,No
1011967,FRA,M,A,A,0,No
1011968,MEX,M,A,B,0,No
1011969,MEX,M,A,B,0,No
1011970,MEX,F,A,B,0,No
1011971,AUS,M,I,B,0,No
1011972,CAN,F,I,A,0,No
1011973,DEU,F,A,B,0,No
1011974,FRA,F,I,B,0,No
1011975,BRA,F,I,A,0,No
1011976,USA,M,A,A,0,No
1011977,BRA,F,A,A,0,No
1011978,DEU,M,I,B,0,No
1011979,BRA,M,I,A,0,No
1011980,CAN,,I,A,0,No
1011981,DEU,F,I,B,0,No
1011982,TUR,M,A,B,0,No
1011983,USA,M,I,A,0,No
1011984,TUR,M,I,A,0,No
1011985,MEX,F,I,A,0,No
1011986,DEU,F,I,A,0,No
1011987,USA,,A,B,0,No
1011988,FRA,F,I,A,0,No
1011989,ESP,O,A,A,0,No
1011990,USA,F,I,A,0,No
1011991,USA,M,A,B,0,No
1011992,BRA,F,I,B,0,No
1011993,BRA,O,A,B,0,No
1011994,TUR,,A,A,0,No
1011995,DEU,F,A,A,0,No
1011996,GBR,F,A,A,0,No
1011997,USA,O,A,B,0,No
1011998,CAN,M,A,B,105.03,Yes
1011999,MEX,M,I,A,0,No
1012000,BRA,F,I,A,0,No
1012001,USA,M,A,A,0,No
1012002,ESP,F,A,A,0,No
1012003,USA,M,A,A,0,No
1012004,USA,F,A,B,0,No
1012005,TUR,M,A,B,0,No
1012006,USA,M,I,B,0,No
1012007,GBR,M,I,A,0,No
1012008,USA,M,I,A,0,No
1012009,USA,F,I,B,0,No
1012010,CAN,,I,B,0,No
1012011,ESP,F,A,A,0,No
1012012,BRA,M,A,B,0,No
1012013,TUR,M,A,B,0,No
1012014,BRA,M,A,A,0,No
1012015,GBR,F,A,B,0,No
1012016,ESP,F,A,B,86.58,Yes
1012017,GBR,O,I,A,0,No
1012018,GBR,F,A,B,0,No
1012019,USA,F,A,B,0,No
1012020,TUR,M,I,B,0,No
1012021,MEX,M,I,A,0,No
1012022,MEX,M,A,A,0,No
1012023,GBR,F,A,A,0,No
1012024,USA,M,A,B,0,No
1012025,USA,,I,A,0,No
1012026,DEU,F,I,A,0,No
1012027,TUR,M,I,A,0,No
1012028,USA,M,A,A,0,No
1012029,TUR,F,A,A,0,No
1012030,USA,F,A,B,0,No
1012031,BRA,F,A,B,0,No
1012032,BRA,F,A,B,0,No
1012033,BRA,F,A,B,0,No
1012034,BRA,F,I,A,0,No
1012035,MEX,,A,A,0,No
1012036,USA,M,A,A,0,No
1012037,USA,M,I,B,105.09,Yes
1012038,USA,M,I,B,0,No
1012039,USA,M,A,B,0,No
1012040,USA,F,A,A,0,No
1012041,MEX,F,A,A,0,No
1012042,USA,,A,B,0,No
1012043,USA,,I,A,0,No
1012044,FRA,F,I,B,0,No
1012045,DEU,F,A,A,0,No
1012046,DEU,,A,B,0,No
1012047,BRA,M,I,B,0,No
1012048,FRA,,I,A,0,No
1012049,USA,F,A,A,0,No
1012050,DEU,M,A,A,0,No
1012051,GBR,,A,A,0,No
1012052,ESP,F,A,A,0,No
1012053,USA,F,A,A,0,No
1012054,USA,F,I,B,0,No
1012055,USA,F,A,A,0,No
1012056,BRA,F,A,B,0,No
1012057,USA,F,I,A,0,No
1012058,USA,F,A,A,0,No
1012059,USA,M,I,B,0,No
1012060,FRA,M,A,B,0,No
1012061,TUR,M,A,B,0,No
1012063,BRA,M,A,A,0,No
1012064,BRA,F,I,A,0,No
1012065,TUR,M,I,B,0,No
1012066,BRA,F,I,A,0,No
1012067,BRA,M,A,B,0,No
1012068,MEX,F,A,B,0,No
1012069,USA,F,A,A,0,No
1012070,TUR,F,A,B,0,No
1012071,BRA,M,I,A,0,No
1012073,DEU,F,A,A,0,No
1012074,TUR,F,A,A,0,No
1012075,DEU,,I,B,0,No
1012076,BRA,M,A,B,0,No
1012077,BRA,M,A,B,0,No
1012078,DEU,M,A,A,0,No
1012079,MEX,M,I,B,0,No
1012080,USA,M,A,B,0,No
1012081,MEX,M,A,B,0,No
1012082,MEX,,A,B,0,No
1012083,MEX,F,A,A,0,No
1012084,USA,M,I,A,0,No
1012085,BRA,F,A,B,0,No
1012086,TUR,F,I,A,0,No
1012087,MEX,M,A,B,0,No
1012088,USA,M,I,B,0,No
1012089,ESP,,A,B,0,No
1012090,FRA,F,A,B,0,No
1012091,BRA,F,A,B,31.91,Yes
1012092,BRA,,A,A,0,No
1012094,USA,M,A,B,0,No
1012095,BRA,M,A,A,0,No
1012096,USA,M,I,A,0,No
1012097,FRA,M,A,A,0,No
1012098,BRA,M,A,B,0,No
1012099,BRA,F,A,A,155.52,Yes
1012100,DEU,M,I,B,0,No
1012101,GBR,F,A,A,0,No
1012102,BRA,M,A,A,0,No
1012103,USA,,A,A,0,No
1012104,USA,F,I,B,0,No
1012105,DEU,M,A,B,0,No
1012106,ESP,M,A,A,0,No
1012107,USA,M,I,B,0,No
1012109,USA,M,A,B,0,No
1012110,ESP,F,A,A,0,No
1012111,BRA,,I,B,0,No
1012112,USA,F,A,B,0,No
1012113,TUR,F,A,B,0,No
1012114,MEX,F,I,A,0,No
1012115,ESP,M,I,A,0,No
1012116,ESP,M,I,A,0,No
1012117,CAN,F,I,B,0,No
1012118,MEX,M,A,B,0,No
1012119,GBR,M,,B,0,No
1012120,BRA,F,A,A,0,No
1012121,USA,M,I,B,0,No
1012122,BRA,M,A,A,0,No
1012123,USA,F,A,B,0,No
1012124,GBR,M,A,A,0,No
1012125,BRA,M,A,A,0,No
1012126,USA,F,I,B,0,No
1012127,DEU,M,A,B,0,No
1012128,BRA,,A,B,0,No
1012129,USA,F,I,B,0,No
1012130,USA,M,A,A,0,No
1012131,BRA,F,A,A,0,No
1012133,MEX,M,A,A,0,No
1012134,USA,M,A,A,0,No
1012135,USA,M,A,B,0,No
1012136,DEU,F,A,A,0,No
1012137,TUR,,I,B,0,No
1012138,USA,M,A,B,0,No
1012139,BRA,M,A,B,0,No
1012140,MEX,M,I,A,0,No
1012141,GBR,M,A,A,0,No
1012142,GBR,F,A,A,0,No
1012143,BRA,M,A,B,0,No
1012145,MEX,,A,B,0,No
1012146,FRA,M,I,B,0,No
1012147,DEU,F,A,B,0,No
1012148,USA,M,A,A,0,No
1012149,GBR,F,I,A,0,No
1012150,USA,F,I,A,0,No
1012151,USA,M,A,A,0,No
1012152,USA,M,A,B,0,No
1012153,USA,M,I,B,0,No
1012154,MEX,F,I,A,0,No
1012155,BRA,M,,A,0,No
1012156,TUR,F,A,A,0,No
1012157,ESP,F,A,A,0,No
1012158,DEU,F,I,A,0,No
1012159,USA,M,A,B,0,No
1012160,MEX,F,A,A,0,No
1012161,USA,F,A,B,0,No
1012162,TUR,F,A,B,0,No
1012163,BRA,F,A,A,26.02,Yes
1012164,USA,,I,B,0,No
1012165,USA,F,A,A,0,No
1012166,TUR,M,I,B,0,No
1012167,MEX,F,A,B,0,No
1012168,USA,M,I,B,0,No
1012169,TUR,,I,A,0,No
1012170,ESP,,A,A,0,No
1012171,BRA,F,A,A,0,No
1012172,MEX,O,A,B,0,No
1012173,MEX,F,I,A,0,No
1012174,MEX,F,A,B,0,No
1012175,FRA,M,A,B,0,No
1012176,USA,M,I,B,0,No
1012177,BRA,M,A,B,0,No
1012178,MEX,F,I,B,104.85,Yes
1012179,USA,M,I,B,0,No
1012180,USA,F,I,A,0,No
1012181,BRA,F,I,A,0,No
1012182,BRA,F,A,B,0,No
1012183,FRA,M,A,A,0,No
1012184,USA,F,A,A,0,No
1012185,TUR,O,A,B,0,No
1012186,USA,M,A,A,0,No
1012187,USA,F,A,B,0,No
1012188,BRA,M,A,A,0,No
1012189,USA,M,I,A,0,No
1012190,MEX,M,A,B,0,No
1012191,USA,M,A,B,0,No
1012192,BRA,M,A,A,0,No
1012193,TUR,F,A,A,69.57,Yes
1012194,MEX,M,I,B,0,No
1012195,GBR,F,A,A,0,No
1012196,USA,M,I,B,0,No
1012197,USA,M,A,A,0,No
1012198,CAN,F,A,A,0,No
1012199,BRA,M,A,B,0,No
1012200,ESP,M,I,B,0,No
1012201,CAN,M,A,A,0,No
1012202,DEU,M,I,A,0,No
1012203,BRA,M,I,B,0,No
1012204,BRA,M,A,A,0,No
1012205,BRA,M,A,B,0,No
1012206,USA,M,I,B,0,No
1012207,USA,M,I,A,0,No
1012208,DEU,F,A,A,0,No
1012209,BRA,F,A,B,0,No
1012210,DEU,M,A,B,0,No
1012211,BRA,,A,A,0,No
1012212,ESP,M,A,B,0,No
1012213,CAN,F,A,A,0,No
1012214,MEX,F,A,B,0,No
1012215,TUR,,,B,0,No
1012216,USA,F,A,A,0,No
1012217,TUR,M,A,B,0,No
1012218,MEX,M,I,A,0,No
1012219,ESP,M,I,B,0,No
1012220,TUR,M,I,A,0,No
1012221,BRA,M,A,A,0,No
1012222,BRA,F,A,A,0,No
1012223,USA,F,I,A,0,No
1012224,,M,I,A,0,No
1012225,USA,M,A,A,0,No
1012226,USA,F,A,A,0,No
1012227,DEU,F,A,A,0,No
1012228,USA,,A,B,0,No
1012229,USA,M,A,B,0,No
1012230,MEX,M,A,A,0,No
1012231,USA,,A,A,0,No
1012232,BRA,M,A,A,0,No
1012233,USA,F,A,B,0,No
1012234,FRA,M,A,B,0,No
1012235,TUR,M,A,A,0,No
1012236,FRA,M,I,B,0,No
1012237,TUR,M,A,B,0,No
1012238,MEX,M,A,A,0,No
1012239,BRA,,A,A,0,No
1012240,USA,,A,B,0,No
1012241,MEX,F,I,B,0,No
1012242,FRA,M,A,A,0,No
1012243,BRA,M,I,B,0,No
1012244,USA,M,I,A,0,No
1012245,TUR,M,I,B,0,No
1012246,USA,,A,B,0,No
1012247,MEX,M,A,A,0,No
1012248,USA,M,A,A,0,No
1012249,MEX,M,A,A,0,No
1012250,TUR,M,A,A,0,No
1012251,BRA,M,A,B,0,No
1012252,,F,I,B,0,No
1012253,USA,F,A,B,0,No
1012254,USA,M,I,A,0,No
1012255,TUR,M,A,A,0,No
1012256,AUS,M,I,B,0,No
1012257,ESP,M,I,A,0,No
1012258,MEX,F,A,A,0,No
1012259,BRA,M,A,A,0,No
1012260,USA,M,I,B,0,No
1012261,USA,,I,B,0,No
1012262,USA,M,A,A,0,No
1012263,USA,F,A,B,0,No
1012264,USA,,A,A,0,No
1012265,DEU,F,I,B,0,No
1012266,BRA,M,A,B,0,No
1012267,USA,,A,A,0,No
1012268,DEU,,A,A,0,No
1012269,DEU,O,I,B,0,No
1012270,TUR,,A,A,0,No
1012271,USA,F,I,B,0,No
1012272,MEX,M,A,A,0,No
1012273,DEU,F,A,B,0,No
1012274,DEU,M,A,B,0,No
1012275,DEU,,A,A,0,No
1012276,USA,F,I,A,54.74,Yes
1012277,USA,,A,A,0,No
1012278,GBR,M,I,B,0,No
1012279,BRA,,A,B,0,No
1012280,,,A,A,0,No
1012281,BRA,M,A,B,0,No
1012282,BRA,F,I,A,38.23,Yes
1012283,TUR,M,A,A,0,No
1012284,USA,M,,A,0,No
1012285,USA,M,A,B,0,No
1012286,MEX,M,A,A,0,No
1012287,FRA,F,A,B,0,No
1012288,USA,M,I,A,0,No
1012289,FRA,F,A,A,0,No
1012290,TUR,M,I,B,0,No
1012291,MEX,F,A,B,0,No
1012292,MEX,F,A,A,0,No
1012293,ESP,M,A,A,0,No
1012294,DEU,F,A,A,0,No
1012295,USA,M,I,B,0,No
1012296,BRA,F,A,A,0,No
1012297,USA,F,A,B,0,No
1012298,USA,O,A,B,0,No
1012299,DEU,M,I,A,0,No
1012300,GBR,M,I,B,0,No
1012301,TUR,F,A,B,0,No
1012302,GBR,M,A,A,0,No
1012303,CAN,M,A,A,63.12,Yes
1012304,MEX,F,A,B,0,No
1012305,CAN,F,A,B,0,No
1012306,USA,,A,B,0,No
1012307,GBR,,A,B,0,No
1012308,USA,F,A,A,0,No
1012309,GBR,,A,A,0,No
1012310,USA,F,A,A,0,No
1012311,USA,M,A,A,0,No
1012312,DEU,M,A,A,0,No
1012313,ESP,F,A,B,0,No
1012314,FRA,O,A,B,0,No
1012315,MEX,O,A,A,0,No
1012316,USA,F,I,A,0,No
1012317,CAN,M,I,B,0,No
1012318,MEX,F,I,A,0,No
1012319,USA,M,A,B,0,No
1012320,USA,F,A,A,0,No
1012321,USA,M,A,A,0,No
1012322,USA,F,A,B,0,No
1012323,USA,F,A,A,0,No
1012324,TUR,M,I,B,0,No
1012325,BRA,M,I,A,0,No
1012326,FRA,M,I,B,0,No
1012327,USA,,A,B,0,No
1012328,USA,M,A,B,0,No
1012329,USA,M,A,B,0,No
1012330,BRA,M,I,A,0,No
1012331,USA,M,A,B,0,No
1012332,USA,M,A,B,0,No
1012333,DEU,M,A,A,0,No
1012334,ESP,M,A,A,0,No
1012335,GBR,F,A,B,0,No
1012336,MEX,M,A,B,0,No
1012337,USA,M,I,B,0,No
1012338,USA,,I,A,97.48,Yes
1012339,TUR,F,I,A,84.25,Yes
1012340,DEU,F,I,A,0,No
1012341,BRA,M,A,A,0,No
1012342,BRA,M,A,B,0,No
1012343,BRA,F,I,B,0,No
1012344,MEX,F,A,B,0,No
1012345,USA,M,A,A,0,No
1012346,FRA,,I,A,0,No
1012347,BRA,,A,B,0,No
1012348,FRA,F,A,B,0,No
1012349,USA,F,I,B,0,No
1012350,AUS,M,I,A,82.37,Yes
1012352,AUS,M,I,A,0,No
1012353,DEU,,A,A,0,No
1012354,GBR,M,I,A,0,No
1012355,USA,M,I,A,0,No
1012356,TUR,M,A,B,0,No
1012357,USA,F,A,B,0,No
1012358,ESP,F,A,B,0,No
1012359,TUR,F,I,B,0,No
1012360,MEX,F,A,A,0,No
1012361,DEU,M,I,A,0,No
1012362,USA,M,I,B,0,No
1012363,CAN,M,A,B,0,No
1012364,BRA,F,A,A,0,No
1012365,USA,M,I,B,28.85,Yes
1012366,TUR,,I,A,143.61,Yes
1012367,BRA,M,I,A,0,No
1012368,ESP,F,A,A,0,No
1012369,USA,F,A,A,0,No
1012370,BRA,F,I,A,0,No
1012371,BRA,M,A,A,0,No
1012372,DEU,,A,A,66.39,Yes
1012373,ESP,,I,A,0,No
1012374,USA,M,I,A,0,No
1012375,BRA,F,A,B,0,No
1012376,USA,M,A,B,0,No
1012377,BRA,,A,A,0,No
1012378,USA,M,A,B,0,No
1012379,BRA,M,I,B,0,No
1012380,MEX,F,A,B,0,No
1012381,BRA,F,I,B,55.72,Yes
1012382,USA,F,I,A,0,No
1012383,USA,M,I,A,0,No
1012384,DEU,M,A,B,0,No
1012385,MEX,M,I,A,0,No
1012386,USA,F,A,B,0,No
1012387,USA,M,I,A,0,No
1012388,USA,F,A,A,0,No
1012389,DEU,F,I,A,0,No
1012390,MEX,,A,A,0,No
1012391,USA,,I,A,45.87,Yes
1012392,CAN,F,I,B,0,No
1012393,GBR,F,I,A,0,No
1012394,ESP,F,A,B,0,No
1012395,USA,M,A,A,0,No
1012396,USA,F,A,B,0,No
1012397,ESP,M,I,A,0,No
1012398,FRA,F,A,A,0,No
1012399,DEU,,I,A,0,No
1012400,BRA,M,A,B,0,No
1012401,USA,F,A,A,0,No
1012402,USA,,I,A,0,No
1012403,MEX,F,A,A,0,No
1012404,USA,F,I,A,0,No
1012405,BRA,M,I,A,0,No
1012406,BRA,,I,A,0,No
1012407,TUR,F,A,A,31.64,Yes
1012408,BRA,,I,B,0,No
1012409,TUR,F,A,B,0,No
1012410,,M,I,B,0,No
1012411,USA,F,I,A,0,No
1012412,GBR,M,A,B,0,No
1012413,GBR,F,A,B,23.23,Yes
1012414,USA,M,I,B,0,No
1012415,USA,F,I,B,0,No
1012416,DEU,,A,A,0,No
1012417,MEX,,A,A,0,No
1012418,USA,,I,A,0,No
1012419,USA,M,A,B,0,No
1012420,USA,,I,A,0,No
1012421,BRA,M,A,B,0,No
1012423,BRA,F,A,A,0,No
1012424,BRA,M,A,A,0,No
1012425,USA,M,I,A,0,No
1012426,USA,F,I,A,0,No
1012427,ESP,M,A,B,0,No
1012428,MEX,M,A,B,0,No
1012429,USA,,A,B,0,No
1012430,BRA,F,I,A,0,No
1012431,USA,O,A,B,0,No
1012432,MEX,F,A,B,0,No
1012433,USA,,I,A,0,No
1012434,USA,,I,A,0,No
1012435,USA,M,A,B,0,No
1012436,BRA,M,I,A,0,No
1012438,USA,M,A,A,0,No
1012439,DEU,M,I,A,0,No
1012440,USA,O,A,A,0,No
1012441,BRA,F,I,A,0,No
1012442,BRA,M,A,A,0,No
1012443,GBR,F,I,B,0,No
1012444,USA,F,A,A,0,No
1012445,MEX,,A,B,0,No
1012446,BRA,M,I,A,0,No
1012448,CAN,M,A,B,0,No
1012449,USA,M,I,B,18.73,Yes
1012450,MEX,F,I,B,0,No
1012451,USA,F,A,A,0,No
1012452,MEX,F,A,A,0,No
1012453,GBR,F,A,A,0,No
1012454,USA,M,I,A,0,No
1012455,MEX,M,A,B,0,No
1012456,USA,O,A,A,0,No
1012457,USA,F,A,B,0,No
1012458,GBR,F,I,B,0,No
1012459,DEU,F,A,A,0,No
1012460,USA,M,A,B,0,No
1012461,FRA,F,A,B,0,No
1012463,USA,M,A,B,63.83,Yes
1012464,MEX,M,A,A,0,No
1012465,AUS,F,A,A,0,No
1012466,USA,,I,A,0,No
1012467,FRA,F,A,A,0,No
1012468,AUS,F,I,A,0,No
1012469,USA,O,A,A,0,No
1012470,USA,F,A,A,0,No
1012471,MEX,F,A,B,0,No
1012472,BRA,M,A,A,0,No
1012473,MEX,F,A,B,0,No
1012474,MEX,M,I,B,0,No
1012475,USA,F,A,B,0,No
1012476,MEX,F,A,B,0,No
1012477,USA,F,I,A,0,No
1012478,USA,,A,B,0,No
1012479,GBR,,I,B,0,No
1012480,AUS,F,A,A,0,No
1012481,BRA,,A,B,0,No
1012482,USA,F,A,A,0,No
1012483,USA,M,A,A,0,No
1012484,DEU,,A,B,0,No
1012485,TUR,,A,A,0,No
1012486,TUR,F,A,B,0,No
1012488,TUR,M,A,A,0,No
1012489,CAN,M,A,B,0,No
1012490,TUR,F,I,B,0,No
1012491,USA,F,A,B,0,No
1012492,FRA,O,I,A,0,No
1012493,CAN,M,I,A,0,No
1012494,USA,F,I,B,0,No
1012495,USA,F,,B,0,No
1012496,USA,M,A,B,0,No
1012497,BRA,M,I,A,0,No
1012498,ESP,M,I,B,0,No
1012499,USA,M,A,A,0,No
1012500,USA,F,A,B,0,No
1012501,GBR,O,A,A,26.84,Yes
1012502,BRA,M,I,A,0,No
1012503,MEX,M,I,A,0,No
1012504,TUR,F,A,B,0,No
1012505,USA,F,A,B,0,No
1012506,MEX,F,A,B,0,No
1012507,BRA,F,I,B,0,No
1012508,USA,M,A,B,0,No
1012509,MEX,,I,B,0,No
1012510,BRA,M,I,B,0,No
1012511,USA,M,I,B,0,No
1012512,USA,O,I,A,0,No
1012513,BRA,M,I,B,0,No
1012514,BRA,F,I,B,0,No
1012515,USA,F,I,B,0,No
1012516,USA,F,A,A,0,No
1012517,USA,M,I,A,0,No
1012518,GBR,M,I,B,0,No
1012519,MEX,F,I,A,0,No
1012520,ESP,M,A,A,0,No
1012521,USA,F,A,B,0,No
1012522,TUR,M,I,A,0,No
1012523,GBR,,A,A,0,No
1012524,USA,F,I,B,0,No
1012525,FRA,F,I,A,0,No
1012526,GBR,M,A,B,0,No
1012527,TUR,,I,A,38.39,Yes
1012528,BRA,F,A,B,0,No
1012529,USA,M,A,A,0,No
1012530,MEX,F,A,B,0,No
1012531,FRA,O,A,B,0,No
1012532,USA,,A,A,0,No
1012533,TUR,F,A,B,0,No
1012534,BRA,,A,B,0,No
1012535,GBR,M,A,A,0,No
1012536,FRA,F,A,A,0,No
1012537,TUR,M,I,B,0,No
1012538,BRA,O,A,B,0,No
1012539,USA,F,A,A,0,No
1012540,AUS,M,A,A,0,No
1012541,USA,F,A,B,0,No
1012542,USA,F,A,B,0,No
1012543,USA,M,A,A,0,No
1012544,GBR,F,I,A,0,No
1012545,GBR,F,I,B,0,No
1012546,USA,F,A,B,0,No
1012547,DEU,F,I,A,0,No
1012548,USA,F,A,A,0,No
1012549,BRA,F,A,A,0,No
1012550,BRA,M,A,A,0,No
1012551,FRA,M,I,A,0,No
1012552,USA,F,A,B,0,No
1012553,GBR,F,I,B,0,No
1012554,TUR,F,I,B,0,No
1012555,BRA,F,A,B,0,No
1012556,USA,F,A,A,0,No
1012557,DEU,F,A,A,0,No
1012558,TUR,M,I,A,0,No
1012559,BRA,,A,B,0,No
1012560,USA,M,I,A,0,No
1012561,DEU,M,A,A,0,No
1012562,MEX,M,I,B,0,No
1012563,USA,F,I,B,0,No
1012564,USA,,A,A,0,No
1012565,USA,,I,A,0,No
1012566,,,A,B,0,No
1012567,BRA,M,A,A,148.6,Yes
1012568,GBR,,I,B,0,No
1012569,AUS,F,I,A,0,No
1012570,USA,F,A,A,0,No
1012571,BRA,M,I,B,0,No
1012572,AUS,F,A,B,0,No
1012573,USA,M,I,B,0,No
1012574,MEX,O,A,A,0,No
1012575,BRA,,A,B,0,No
1012576,BRA,F,A,A,0,No
1012577,USA,,A,B,0,No
1012578,TUR,M,I,A,0,No
1012579,BRA,M,A,A,0,No
1012580,DEU,F,I,A,0,No
1012581,TUR,M,A,A,0,No
1012582,USA,F,A,A,0,No
1012583,DEU,F,I,A,0,No
1012584,MEX,M,A,A,0,No
1012585,USA,F,A,A,0,No
1012586,USA,F,A,A,0,No
1012587,ESP,F,A,A,0,No
1012588,USA,M,A,A,0,No
1012589,ESP,M,A,A,0,No
1012590,USA,F,A,A,0,No
1012591,DEU,F,I,B,0,No
1012592,GBR,F,A,A,0,No
1012593,GBR,F,I,A,0,No
1012594,USA,,I,A,147.18,Yes
1012595,GBR,F,I,A,0,No
1012596,USA,F,A,B,0,No
1012597,DEU,M,A,B,0,No
1012598,AUS,M,I,A,0,No
1012600,DEU,F,A,B,0,No
1012601,BRA,F,I,B,0,No
1012603,CAN,M,A,B,0,No
1012604,BRA,,A,B,0,No
1012605,USA,F,A,A,0,No
1012606,BRA,O,I,A,0,No
1012607,USA,F,A,B,12.15,Yes
1012608,MEX,F,A,A,0,No
1012609,FRA,,I,A,0,No
1012610,MEX,M,A,B,0,No
1012611,BRA,M,I,A,0,No
1012612,MEX,M,A,A,0,No
1012613,TUR,M,I,A,0,No
1012614,FRA,F,I,B,0,No
1012615,USA,M,A,A,0,No
1012616,,F,I,A,0,No
1012617,FRA,F,I,B,0,No
1012618,USA,M,A,A,0,No
1012619,ESP,F,I,B,0,No
1012620,TUR,M,A,A,0,No
1012621,DEU,M,I,A,0,No
1012622,FRA,F,A,B,0,No
1012623,GBR,F,A,A,0,No
1012624,MEX,F,A,B,0,No
1012625,BRA,M,A,B,0,No
1012626,MEX,F,A,B,0,No
1012627,CAN,,A,B,32.61,Yes
1012628,USA,M,A,A,0,No
1012629,GBR,F,A,B,0,No
1012630,MEX,M,A,A,0,No
1012631,FRA,F,A,A,0,No
1012632,DEU,F,A,B,0,No
1012633,DEU,M,A,A,0,No
1012634,DEU,M,A,A,0,No
1012635,DEU,M,I,A,0,No
1012636,TUR,M,I,A,0,No
1012637,BRA,F,A,B,0,No
1012638,USA,M,I,A,0,No
1012639,USA,M,I,B,0,No
1012640,USA,F,A,A,0,No
1012641,DEU,M,A,B,0,No
1012642,USA,M,A,B,0,No
1012643,USA,M,A,A,0,No
1012644,AUS,F,I,B,0,No
1012645,BRA,M,I,B,0,No
1012646,FRA,M,A,B,0,No
1012647,MEX,,A,B,0,No
1012648,USA,M,A,A,0,No
1012649,BRA,O,A,A,0,No
1012650,BRA,F,A,A,0,No
1012651,FRA,M,I,B,0,No
1012652,USA,F,A,A,0,No
1012653,CAN,M,I,B,0,No
1012654,USA,F,A,A,0,No
1012655,MEX,F,A,B,39.75,Yes
1012656,DEU,,A,B,0,No
1012657,MEX,M,I,A,0,No
1012658,BRA,M,I,B,0,No
1012659,USA,F,A,B,0,No
1012660,MEX,,A,A,0,No
1012661,CAN,M,I,B,0,No
1012662,BRA,F,I,B,95.02,Yes
1012663,FRA,O,I,B,0,No
1012664,USA,F,A,B,0,No
1012665,USA,M,I,A,0,No
1012666,BRA,M,A,B,0,No
1012667,ESP,F,I,B,0,No
1012668,USA,F,A,B,0,No
1012669,BRA,M,I,A,0,No
1012670,GBR,M,,A,0,No
1012671,USA,F,I,B,0,No
1012672,TUR,F,A,B,0,No
1012673,ESP,F,A,A,0,No
1012674,USA,,I,A,0,No
1012675,DEU,,A,A,0,No
